X,Z,Type
23,-204,echest
25,-204,echest
29,-204,echest
17,-197,echest
22,-198,echest
28,-199,echest
26,-184,echest
25,-192,echest
18,-190,echest
30,-185,echest
18,-181,echest
20,-165,echest
30,-164,echest
18,-171,echest
30,-173,echest
24,-173,echest
17,-170,echest
24,-171,echest
26,-165,echest
18,-172,echest
29,-171,echest
30,-171,echest
20,-162,echest
22,-149,echest
29,-152,echest
29,-152,echest
29,-152,echest
20,-136,echest
20,-130,echest
22,-134,echest
23,-140,echest
22,-144,echest
19,-142,echest
24,-137,echest
21,-120,echest
30,-123,echest
30,-120,echest
26,-99,echest
18,-102,echest
23,-112,echest
24,-109,echest
30,-82,echest
28,-93,echest
26,-91,echest
27,-81,echest
25,-92,echest
31,-93,echest
20,-85,echest
18,-80,echest
27,-79,echest
23,-68,echest
28,-65,echest
19,-71,echest
19,-70,echest
24,-77,echest
30,-78,echest
24,-61,echest
29,-57,echest
25,-52,echest
18,-59,echest
20,-52,echest
20,-52,echest
24,-50,echest
19,-49,echest
24,-63,echest
19,-55,echest
18,-49,echest
26,-58,echest
18,-60,echest
17,-41,echest
20,-36,echest
16,-41,echest
19,-39,echest
19,-39,echest
19,-39,echest
27,-35,echest
18,-48,echest
19,-48,echest
21,-48,echest
16,-42,echest
17,-42,echest
16,-42,echest
17,-42,echest
17,-42,echest
25,-41,echest
44,-497,echest
40,-497,echest
43,-503,echest
45,-509,echest
35,-460,echest
35,-464,echest
37,-425,echest
34,-423,echest
35,-422,echest
43,-422,echest
42,-410,echest
42,-409,echest
44,-394,echest
47,-341,echest
34,-283,echest
40,-259,echest
46,-261,echest
47,-261,echest
46,-261,echest
46,-259,echest
40,-256,echest
42,-256,echest
41,-243,echest
47,-226,echest
45,-235,echest
47,-239,echest
35,-231,echest
43,-221,echest
35,-207,echest
43,-190,echest
47,-186,echest
39,-180,echest
46,-165,echest
45,-164,echest
39,-167,echest
36,-162,echest
41,-162,echest
42,-164,echest
42,-149,echest
42,-149,echest
34,-154,echest
37,-146,echest
35,-151,echest
34,-145,echest
35,-154,echest
35,-153,echest
45,-153,echest
39,-144,echest
37,-135,echest
39,-133,echest
34,-128,echest
32,-124,echest
38,-121,echest
34,-118,echest
37,-127,echest
35,-103,echest
47,-111,echest
40,-108,echest
46,-108,echest
46,-102,echest
42,-98,echest
39,-110,echest
44,-84,echest
47,-88,echest
33,-67,echest
45,-71,echest
44,-70,echest
45,-76,echest
45,-80,echest
34,-73,echest
35,-73,echest
47,-79,echest
36,-50,echest
42,-49,echest
36,-62,echest
37,-64,echest
44,-53,echest
33,-62,echest
44,-49,echest
43,-62,echest
44,-62,echest
32,-52,echest
38,-38,echest
40,-47,echest
44,-46,echest
40,-46,echest
33,-47,echest
50,-501,echest
51,-481,echest
50,-449,echest
49,-451,echest
54,-428,echest
57,-405,echest
62,-330,echest
49,-305,echest
51,-303,echest
50,-289,echest
48,-257,echest
58,-248,echest
57,-248,echest
52,-245,echest
59,-247,echest
59,-233,echest
58,-228,echest
59,-232,echest
61,-224,echest
60,-222,echest
59,-223,echest
60,-223,echest
61,-221,echest
51,-211,echest
59,-210,echest
50,-196,echest
51,-200,echest
51,-199,echest
63,-193,echest
48,-201,echest
63,-178,echest
48,-188,echest
52,-185,echest
54,-185,echest
63,-177,echest
61,-192,echest
50,-177,echest
53,-170,echest
52,-169,echest
49,-174,echest
60,-163,echest
57,-169,echest
55,-149,echest
61,-145,echest
61,-137,echest
59,-131,echest
61,-132,echest
63,-132,echest
61,-129,echest
49,-131,echest
49,-133,echest
52,-138,echest
57,-141,echest
58,-119,echest
59,-114,echest
56,-106,echest
51,-101,echest
52,-99,echest
51,-103,echest
62,-94,echest
60,-84,echest
58,-83,echest
63,-89,echest
49,-87,echest
48,-88,echest
48,-87,echest
63,-69,echest
49,-68,echest
63,-68,echest
53,-69,echest
50,-68,echest
52,-80,echest
59,-71,echest
49,-78,echest
60,-49,echest
53,-63,echest
48,-52,echest
60,-51,echest
62,-61,echest
50,-58,echest
61,-60,echest
53,-49,echest
60,-48,echest
57,-34,echest
60,-38,echest
54,-48,echest
53,-48,echest
63,-38,echest
50,-33,echest
73,-500,echest
68,-498,echest
69,-497,echest
76,-503,echest
75,-503,echest
65,-500,echest
66,-487,echest
75,-487,echest
75,-485,echest
75,-485,echest
67,-390,echest
69,-381,echest
79,-382,echest
69,-384,echest
72,-359,echest
70,-327,echest
72,-323,echest
74,-312,echest
78,-299,echest
71,-257,echest
67,-227,echest
75,-212,echest
72,-216,echest
74,-197,echest
76,-180,echest
66,-178,echest
75,-177,echest
75,-174,echest
77,-174,echest
65,-175,echest
69,-171,echest
71,-168,echest
67,-148,echest
66,-139,echest
79,-136,echest
64,-137,echest
69,-139,echest
71,-138,echest
69,-115,echest
65,-128,echest
70,-122,echest
77,-115,echest
68,-126,echest
74,-126,echest
74,-126,echest
68,-100,echest
67,-101,echest
65,-99,echest
69,-94,echest
75,-86,echest
78,-85,echest
70,-86,echest
75,-66,echest
76,-79,echest
77,-78,echest
71,-50,echest
67,-51,echest
78,-49,echest
79,-49,echest
76,-49,echest
78,-56,echest
77,-58,echest
75,-61,echest
74,-49,echest
68,-49,echest
77,-53,echest
77,-53,echest
77,-38,echest
79,-48,echest
73,-40,echest
79,-42,echest
79,-42,echest
69,-36,echest
73,-48,echest
73,-37,echest
68,-47,echest
68,-33,echest
-2,-953262,echest
2,-1350057,echest
-3,-286231,echest
-4,-956263,echest
1,-2244676,echest
2,-1354050,echest
14,-5092,echest
2,-4968,echest
9,-4659,echest
22,-4626,echest
43,-5077,echest
57,-5039,echest
1,-50889,echest
69,-51139,echest
2,-1696468,echest
-39,-139134,echest
-26,-138876,echest
-26,-138876,echest
-26,-138875,echest
-25,-138875,echest
-24,-138876,echest
-23,-138876,echest
1,-512857,echest
2,-512761,echest
-3,-960965,echest
-7,-73891,echest
2,-224583,echest
-2,-2871514,echest
2,-114398,echest
8,-149194,echest
2,-22416,echest
8,-22262,echest
-3,-746688,echest
-3,-747284,echest
-8,-750004,echest
-2,-211691,echest
1,-149937,echest
1,-149563,echest
1,-1701143,echest
-5,-1885126,echest
-57,-74996,echest
-4,-970094,echest
-2,-2879632,echest
-20,-755080,echest
-2,-2881700,echest
-40,-212008,echest
-3,-212456,echest
-3,-2124745,echest
-3,-9592,echest
-1,-9505,echest
59,-51987,echest
-4,-755268,echest
-5,-2125397,echest
2,-1156197,echest
-1,-756782,echest
2,-522472,echest
-52,-18846,echest
-53,-18795,echest
-4,-18513,echest
-16,-1894029,echest
23,-52456,echest
2,-1506228,echest
-4,-977928,echest
-3,-979942,echest
79,-2263385,echest
-4,-2892091,echest
6,-2266147,echest
-3,-982045,echest
-5,-983811,echest
20,-1163425,echest
-43,-7499,echest
-30,-7598,echest
-1,-7415,echest
-1,-7415,echest
-6,-1417466,echest
-3,-986420,echest
-1,-987443,echest
1,-2276589,echest
-3,-987870,echest
-3,-1427400,echest
2,-538378,echest
1,-1170724,echest
-3,-776503,echest
-2,-992233,echest
-2,-992232,echest
-2,-992231,echest
-1,-992231,echest
-2,-992230,echest
-1,-992230,echest
-2,-992229,echest
-1,-992229,echest
-2,-992228,echest
-1,-992228,echest
-1,-992227,echest
-2,-992228,echest
-39,-13912,echest
-16,-14204,echest
2,-541674,echest
2,-541484,echest
-3,-2152619,echest
-2,-2154735,echest
-3,-215258,echest
0,-543108,echest
2,-543574,echest
8,-172845,echest
74,-544806,echest
-3,-997056,echest
2,-546133,echest
-2,-2912582,echest
2,-2286255,echest
2,-11373,echest
18,-11315,echest
18,-11314,echest
37,-11501,echest
15,-117475,echest
-5,-1000002,echest
-3,-1001908,echest
-3,-1001732,echest
-2,-790764,echest
-28,-28783,echest
-4,-28738,echest
-2,-291467,echest
-3,-291430,echest
3,-551321,echest
-2,-2165080,echest
-11,-79203,echest
-1,-79158,echest
0,-2291135,echest
-4,-1005122,echest
-30,-1923846,echest
-6,-1006581,echest
2,-1183189,echest
-2,-2922953,echest
1,-1529510,echest
77,-1738271,echest
-53,-1926829,echest
2,-1185280,echest
2,-1185033,echest
1,-556304,echest
2,-1531937,echest
-3,-2926597,echest
3,-1533753,echest
7,-1187505,echest
-2,-2174367,echest
4,-1536,echest
13,-1506,echest
14,-1518,echest
13,-1435,echest
5,-1417,echest
3,-1398,echest
13,-1377,echest
1,-1331,echest
14,-1152,echest
8,-1068,echest
11,-1064,echest
10,-1062,echest
6,-1042,echest
4,-1028,echest
22,-1487,echest
29,-1287,echest
18,-1261,echest
19,-1205,echest
25,-1098,echest
44,-1478,echest
39,-1301,echest
37,-1221,echest
33,-1178,echest
43,-1061,echest
59,-1513,echest
56,-1404,echest
55,-1048,echest
66,-1529,echest
66,-1483,echest
76,-1152,echest
65,-1122,echest
76,-1054,echest
0,-1190508,echest
-2,-2933032,echest
6,-118992,echest
2,-5433,echest
11,-5343,echest
13,-5197,echest
23,-5418,echest
-1,-1935976,echest
64,-5137,echest
1,-22646,echest
2,-564673,echest
2,-565342,echest
2,-1750140,echest
-57,-1011,echest
-58,-1004,echest
-64,-849,echest
-59,-786,echest
-60,-781,echest
-61,-780,echest
-52,-741,echest
-53,-620,echest
-53,-619,echest
-40,-1014,echest
-38,-1007,echest
-46,-988,echest
-36,-808,echest
-37,-781,echest
-44,-754,echest
-39,-751,echest
-35,-708,echest
-35,-613,echest
-46,-612,echest
-40,-557,echest
-23,-1001,echest
-21,-903,echest
-25,-882,echest
-22,-734,echest
-19,-695,echest
-21,-621,echest
-26,-608,echest
-24,-582,echest
-24,-582,echest
-24,-582,echest
-21,-532,echest
-25,-535,echest
-8,-998,echest
-5,-962,echest
-5,-962,echest
-3,-975,echest
-11,-894,echest
-11,-894,echest
-11,-856,echest
-2,-844,echest
-7,-755,echest
-15,-753,echest
-15,-753,echest
-12,-756,echest
-3,-762,echest
-13,-737,echest
-4,-730,echest
-9,-708,echest
-8,-708,echest
-9,-651,echest
-8,-625,echest
-3,-629,echest
-11,-591,echest
-2,-572,echest
-8,-567,echest
-11,-562,echest
-3,-533,echest
-12,-544,echest
-4,-539,echest
-3,-539,echest
-57,-10052,echest
-1,-1779312,echest
-62,-10002,echest
-32,-10195,echest
-19,-10121,echest
-24,-9844,echest
-5,-10223,echest
-13,-10150,echest
-10,-9937,echest
2,-566277,echest
-3,-2185212,echest
1,-1541466,echest
2,-567361,echest
-4,-178125,echest
-13,-177900,echest
40,-56639,echest
-1,-1943326,echest
-3,-357256,echest
-3,-1781951,echest
-16,-19183,echest
-3,-102828,echest
-5,-8157,echest
-3,-7916,echest
-1,-7884,echest
-1,-2416314,echest
-3,-1787550,echest
25,-56922,echest
-1,-2193698,echest
2,-573779,echest
2,-1205072,echest
-3,-1033935,echest
-63,-17887,echest
-24,-17906,echest
-12,-2195971,echest
-2,-1953681,echest
-49,-3342,echest
-39,-3168,echest
-26,-3571,echest
-6,-3465,echest
-7,-3426,echest
-15,-3149,echest
-2,-3118,echest
2,-1761716,echest
-3,-825617,echest
47,-120620,echest
-3,-2426165,echest
-17,-195339,echest
-2,-195553,echest
41,-57428,echest
19,-1555073,echest
-9,-1249991,echest
-4,-179685,echest
-1,-179694,echest
63,-155559,echest
76,-155495,echest
-35,-830921,echest
-3,-1798359,echest
-6,-1961888,echest
-3,-230535,echest
45,-121243,echest
-63,-125324,echest
-5,-125251,echest
-15,-125006,echest
-1,-124974,echest
-3,-833158,echest
1,-584230,echest
-10,-83175,echest
-3,-3593853,echest
2,-586587,echest
-2,-3594692,echest
4,-58406,echest
3,-1562389,echest
-2,-1260000,echest
-2,-3598523,echest
3,-589126,echest
6,-589130,echest
0,-589129,echest
3,-589129,echest
4,-589129,echest
5,-589129,echest
6,-589129,echest
1,-589128,echest
3,-589102,echest
3,-589103,echest
3,-589102,echest
3,-589101,echest
3,-589100,echest
-2,-2438891,echest
-1,-2438891,echest
-3,-2438891,echest
-7,-180662,echest
-3,-180330,echest
-3,-2316236,echest
-2,-243813,echest
-2,-243812,echest
2,-1220492,echest
1,-591515,echest
6,-135557,echest
3,-592185,echest
5,-591956,echest
-12,-1972764,echest
-11,-1972764,echest
-11,-1972763,echest
-10,-1972762,echest
-9,-1972761,echest
-8,-1972761,echest
-7,-1972761,echest
-4,-1972759,echest
-3,-1810406,echest
-3,-360182,echest
-3,-1811860,echest
-3,-197586,echest
-3,-1267763,echest
-6,-846440,echest
-6,-126885,echest
-3,-181739,echest
2,-598208,echest
-3,-1271707,echest
-2,-2449907,echest
4,-12132,echest
15,-12023,echest
3,-11991,echest
10,-11939,echest
44,-11969,echest
74,-12253,echest
-3,-245073,echest
-16,-853221,echest
2,-602040,echest
-2,-2454584,echest
-3,-232764,echest
-3,-198258,echest
1,-60177,echest
-28,-12400,echest
-3,-24564,echest
-3,-24561,echest
-11,-12609,echest
-11,-12609,echest
-6,-12494,echest
-9,-24103,echest
-3,-12379,echest
-2,-245375,echest
2,-605407,echest
2,-1369706,echest
2,-1234066,echest
2,-606501,echest
-2,-3620359,echest
-2,-2460388,echest
-3,-85816,echest
-24,-115862,echest
-25,-115853,echest
-2,-3256987,echest
78,-60745,echest
-2,-245862,echest
-6,-3624997,echest
7,-1376193,echest
1,-1375934,echest
2,-612045,echest
-29,-1286738,echest
-16,-86059,echest
-2,-233708,echest
43,-613402,echest
28,-6108,echest
26,-6063,echest
27,-5916,echest
52,-5725,echest
77,-6030,echest
17,-61366,echest
26,-61371,echest
71,-124382,echest
76,-123962,echest
-5,-183415,echest
-56,-8486,echest
-4,-8676,echest
-5,-8359,echest
-1,-234148,echest
-2,-3267899,echest
2,-13506,echest
2,-1381891,echest
-10,-1176493,echest
-9,-1176493,echest
-9,-1176493,echest
-3,-1176110,echest
-9,-875003,echest
-58,-11619,echest
-58,-11619,echest
-3,-11636,echest
-4,-11597,echest
-29,-4085,echest
-19,-4023,echest
-25,-183818,echest
-7,-87433,echest
-19,-3633,echest
-13,-3772,echest
-13,-3738,echest
-12,-3739,echest
2,-124462,echest
21,-124894,echest
-3,-3273532,echest
-2,-3639679,echest
-4,-413949,echest
-49,-41222,echest
-26,-41053,echest
-2,-1299916,echest
-2,-414921,echest
-4,-130043,echest
-3,-417514,echest
24,-1390907,echest
-3,-41844,echest
-2,-41536,echest
-2,-88567,echest
-18,-185045,echest
-3,-185122,echest
-2,-3650131,echest
-3,-1310384,echest
-2,-3288389,echest
-2,-88856,echest
-3,-88657,echest
-8,-185656,echest
-2,-2492659,echest
-27,-429523,echest
-2,-3164963,echest
-4,-894274,echest
-47,-131562,echest
-3,-249507,echest
-2,-3171493,echest
-10,-2500004,echest
-12,-2499996,echest
-1,-438131,echest
-3,-1322175,echest
-3,-438401,echest
-2,-3298819,echest
-14,-250024,echest
31,-140490,echest
48,-140612,echest
-4,-366444,echest
-47,-43817,echest
-3,-3176042,echest
-3,-440154,echest
-2,-3303827,echest
-44,-24890,echest
-23,-24888,echest
-26,-24883,echest
-31,-24873,echest
-24,-24845,echest
-3,-24976,echest
-15,-24876,echest
-3,-24864,echest
-3,-24864,echest
-1,-24851,echest
-14,-24704,echest
-2,-3182052,echest
-2,-2510231,echest
-26,-13271,echest
-25,-13072,echest
-3,-13078,echest
-5,-2514201,echest
-2,-44846,echest
-3,-1217965,echest
-13,-91297,echest
-4,-1218345,echest
-3,-919496,echest
2,-1420405,echest
-47,-45246,echest
-3,-455542,echest
-2,-347024,echest
-3,-456473,echest
-2,-3192398,echest
-52,-8912,echest
-9,-92057,echest
-3,-3472849,echest
-2,-3321052,echest
-58,-4475,echest
-55,-4475,echest
-6,-4177,echest
-1,-923718,echest
-1,-923717,echest
-3,-1225824,echest
-4,-3199190,echest
-25,-12029,echest
-3,-12122,echest
-7,-12028,echest
-8,-11943,echest
-1,-11892,echest
-6,-11841,echest
-6,-11778,echest
-3,-11780,echest
-3,-463218,echest
-2,-2528273,echest
54,-142380,echest
-3,-1228849,echest
-3,-1229668,echest
-3,-2529344,echest
-3,-1348164,echest
-49,-928813,echest
-2,-3202786,echest
-2,-32912,echest
-17,-332600,echest
-47,-92851,echest
-19,-34601,echest
-3,-467857,echest
-1,-629190,echest
-46,-62517,echest
-3,-468954,echest
-3,-469829,echest
5,-13845,echest
-15,-46840,echest
-2,-3331880,echest
-2,-3206860,echest
-4,-633482,echest
-3,-63119,echest
-34,-23786,echest
-1,-24007,echest
-3,-636375,echest
-41,-1240150,echest
-4,-253932,echest
-27,-63902,echest
-3,-47737,echest
-3,-2542114,echest
-2,-3683391,echest
-3,-483306,echest
-24,-64025,echest
-2,-221068,echest
-3,-3684897,echest
-1,-333920,echest
-2,-646079,echest
2,-143912,echest
20,-144043,echest
35,-144367,echest
-2,-3364887,echest
-111,-153,echest
-99,-125,echest
-99,-117,echest
-101,-112,echest
-98,-98,echest
-100,-100,echest
-99,-103,echest
-105,-110,echest
-105,-110,echest
-112,-87,echest
-103,-87,echest
-104,-83,echest
-107,-92,echest
-98,-85,echest
-97,-89,echest
-110,-69,echest
-101,-65,echest
-107,-73,echest
-100,-51,echest
-99,-53,echest
-110,-64,echest
-106,-33,echest
-108,-33,echest
-112,-42,echest
-102,-37,echest
-104,-36,echest
-104,-36,echest
-102,-33,echest
-110,-37,echest
-98,-45,echest
-108,-36,echest
-108,-36,echest
-111,-43,echest
-81,-171,echest
-83,-163,echest
-94,-173,echest
-81,-161,echest
-85,-146,echest
-85,-135,echest
-91,-137,echest
-86,-134,echest
-89,-130,echest
-81,-135,echest
-84,-143,echest
-92,-118,echest
-81,-122,echest
-90,-117,echest
-81,-104,echest
-92,-103,echest
-92,-84,echest
-96,-89,echest
-88,-85,echest
-94,-85,echest
-96,-90,echest
-96,-90,echest
-95,-89,echest
-95,-86,echest
-94,-86,echest
-95,-88,echest
-92,-76,echest
-84,-68,echest
-81,-75,echest
-82,-72,echest
-92,-75,echest
-81,-80,echest
-85,-66,echest
-87,-54,echest
-95,-60,echest
-90,-37,echest
-90,-37,echest
-92,-38,echest
-92,-42,echest
-95,-39,echest
-93,-39,echest
-95,-47,echest
-93,-34,echest
-70,-464,echest
-71,-435,echest
-74,-440,echest
-70,-439,echest
-3,-486824,echest
-70,-427,echest
-65,-418,echest
-73,-432,echest
-78,-426,echest
-76,-401,echest
-75,-391,echest
-68,-400,echest
-80,-381,echest
-79,-366,echest
-79,-367,echest
-79,-339,echest
-70,-341,echest
-69,-186,echest
-73,-178,echest
-78,-191,echest
-80,-161,echest
-74,-168,echest
-69,-170,echest
-80,-174,echest
-68,-145,echest
-74,-160,echest
-66,-160,echest
-66,-137,echest
-73,-131,echest
-71,-142,echest
-70,-131,echest
-76,-121,echest
-68,-122,echest
-72,-124,echest
-76,-126,echest
-80,-121,echest
-68,-115,echest
-69,-118,echest
-74,-118,echest
-73,-118,echest
-76,-107,echest
-66,-99,echest
-72,-99,echest
-72,-112,echest
-66,-112,echest
-80,-92,echest
-66,-84,echest
-65,-88,echest
-66,-73,echest
-66,-73,echest
-68,-63,echest
-69,-53,echest
-73,-62,echest
-73,-61,echest
-73,-64,echest
-69,-35,echest
-72,-34,echest
-69,-34,echest
-73,-33,echest
-78,-37,echest
-69,-45,echest
-61,-500,echest
-53,-430,echest
-63,-403,echest
-54,-338,echest
-64,-329,echest
-54,-329,echest
-54,-330,echest
-50,-329,echest
-56,-302,echest
-51,-284,echest
-59,-282,echest
-54,-288,echest
-61,-259,echest
-58,-261,echest
-49,-258,echest
-56,-258,echest
-63,-249,echest
-50,-256,echest
-64,-251,echest
-62,-252,echest
-63,-249,echest
-60,-248,echest
-59,-234,echest
-55,-232,echest
-56,-231,echest
-54,-231,echest
-57,-231,echest
-57,-229,echest
-56,-229,echest
-55,-231,echest
-61,-233,echest
-61,-233,echest
-63,-216,echest
-64,-210,echest
-61,-216,echest
-63,-214,echest
-58,-201,echest
-56,-207,echest
-61,-192,echest
-51,-180,echest
-61,-185,echest
-53,-185,echest
-64,-179,echest
-50,-181,echest
-61,-170,echest
-52,-175,echest
-63,-155,echest
-63,-150,echest
-53,-147,echest
-63,-155,echest
-59,-152,echest
-59,-147,echest
-57,-149,echest
-58,-160,echest
-55,-139,echest
-52,-134,echest
-52,-135,echest
-61,-104,echest
-55,-109,echest
-59,-100,echest
-60,-99,echest
-64,-99,echest
-59,-102,echest
-61,-99,echest
-49,-96,echest
-54,-92,echest
-55,-83,echest
-55,-83,echest
-52,-95,echest
-54,-75,echest
-62,-79,echest
-57,-49,echest
-59,-60,echest
-58,-60,echest
-63,-62,echest
-56,-58,echest
-54,-59,echest
-53,-53,echest
-52,-51,echest
-53,-50,echest
-53,-50,echest
-53,-48,echest
-58,-41,echest
-55,-37,echest
-56,-36,echest
-61,-43,echest
-57,-36,echest
-34,-504,echest
-35,-479,echest
-45,-424,echest
-45,-423,echest
-45,-423,echest
-47,-396,echest
-36,-390,echest
-35,-377,echest
-39,-339,echest
-36,-308,echest
-46,-289,echest
-47,-289,echest
-46,-289,echest
-47,-289,echest
-37,-301,echest
-43,-271,echest
-47,-258,echest
-34,-248,echest
-48,-233,echest
-40,-231,echest
-35,-227,echest
-35,-228,echest
-34,-232,echest
-33,-232,echest
-37,-223,echest
-36,-223,echest
-42,-216,echest
-42,-217,echest
-34,-208,echest
-46,-200,echest
-37,-199,echest
-43,-207,echest
-36,-194,echest
-33,-200,echest
-36,-194,echest
-33,-200,echest
-34,-192,echest
-36,-177,echest
-47,-182,echest
-47,-186,echest
-46,-183,echest
-39,-166,echest
-45,-164,echest
-33,-164,echest
-33,-164,echest
-33,-164,echest
-48,-172,echest
-35,-162,echest
-40,-152,echest
-43,-155,echest
-37,-151,echest
-47,-158,echest
-48,-151,echest
-35,-149,echest
-34,-152,echest
-38,-152,echest
-34,-147,echest
-45,-131,echest
-44,-144,echest
-43,-136,echest
-43,-137,echest
-45,-129,echest
-35,-140,echest
-45,-115,echest
-37,-128,echest
-35,-114,echest
-39,-122,echest
-34,-119,echest
-48,-110,echest
-37,-107,echest
-33,-102,echest
-47,-107,echest
-36,-107,echest
-36,-107,echest
-36,-106,echest
-37,-100,echest
-37,-100,echest
-37,-100,echest
-37,-100,echest
-34,-100,echest
-37,-100,echest
-34,-100,echest
-37,-100,echest
-34,-100,echest
-37,-100,echest
-34,-100,echest
-37,-100,echest
-41,-104,echest
-37,-100,echest
-38,-106,echest
-37,-100,echest
-34,-100,echest
-37,-100,echest
-46,-88,echest
-44,-93,echest
-34,-83,echest
-42,-84,echest
-44,-85,echest
-36,-66,echest
-37,-65,echest
-47,-80,echest
-45,-65,echest
-35,-67,echest
-35,-66,echest
-35,-65,echest
-36,-66,echest
-36,-65,echest
-38,-67,echest
-44,-49,echest
-39,-62,echest
-35,-53,echest
-36,-62,echest
-40,-48,echest
-35,-33,echest
-47,-37,echest
-47,-37,echest
-47,-37,echest
-35,-48,echest
-29,-505,echest
-27,-501,echest
-23,-464,echest
-32,-379,echest
-25,-377,echest
-25,-304,echest
-29,-293,echest
-29,-287,echest
-28,-286,echest
-18,-259,echest
-29,-267,echest
-31,-256,echest
-29,-229,echest
-31,-228,echest
-25,-229,echest
-27,-228,echest
-32,-232,echest
-32,-232,echest
-32,-232,echest
-32,-232,echest
-21,-216,echest
-27,-214,echest
-26,-214,echest
-27,-203,echest
-23,-194,echest
-18,-195,echest
-30,-206,echest
-27,-192,echest
-22,-179,echest
-22,-179,echest
-19,-178,echest
-27,-171,echest
-20,-161,echest
-22,-168,echest
-24,-166,echest
-23,-166,echest
-28,-172,echest
-32,-170,echest
-21,-168,echest
-32,-164,echest
-20,-163,echest
-19,-163,echest
-32,-165,echest
-32,-164,echest
-32,-164,echest
-17,-152,echest
-30,-157,echest
-29,-149,echest
-29,-148,echest
-30,-157,echest
-17,-149,echest
-27,-156,echest
-24,-154,echest
-27,-156,echest
-27,-156,echest
-28,-157,echest
-17,-129,echest
-28,-132,echest
-25,-143,echest
-18,-137,echest
-26,-132,echest
-18,-138,echest
-26,-113,echest
-25,-114,echest
-20,-117,echest
-32,-115,echest
-31,-115,echest
-32,-123,echest
-31,-123,echest
-30,-112,echest
-24,-105,echest
-27,-112,echest
-23,-106,echest
-25,-105,echest
-21,-94,echest
-22,-94,echest
-21,-94,echest
-22,-93,echest
-21,-93,echest
-17,-88,echest
-19,-88,echest
-19,-87,echest
-26,-88,echest
-23,-88,echest
-30,-92,echest
-31,-81,echest
-20,-81,echest
-27,-82,echest
-32,-90,echest
-20,-65,echest
-21,-72,echest
-22,-67,echest
-23,-77,echest
-31,-67,echest
-30,-67,echest
-20,-66,echest
-19,-61,echest
-26,-56,echest
-22,-56,echest
-21,-49,echest
-20,-64,echest
-22,-64,echest
-20,-64,echest
-19,-49,echest
-28,-62,echest
-31,-34,echest
-25,-37,echest
-19,-37,echest
-23,-37,echest
-25,-33,echest
-21,-39,echest
-23,-33,echest
-32,-34,echest
-17,-41,echest
-10,-505,echest
-3,-494,echest
-1,-462,echest
-2,-421,echest
-16,-426,echest
-2,-404,echest
-3,-398,echest
-2,-395,echest
-13,-356,echest
-13,-355,echest
-1,-341,echest
-7,-343,echest
-7,-346,echest
-14,-315,echest
-1,-312,echest
-2,-309,echest
-1,-316,echest
-6,-310,echest
-15,-289,echest
-1,-295,echest
-14,-279,echest
-2,-280,echest
-5,-259,echest
-5,-258,echest
-9,-261,echest
-8,-267,echest
-2,-270,echest
-1,-265,echest
-4,-243,echest
-2,-244,echest
-2,-244,echest
-7,-254,echest
-9,-247,echest
-4,-239,echest
-6,-233,echest
-5,-233,echest
-14,-230,echest
-2,-210,echest
-4,-219,echest
-5,-218,echest
-8,-207,echest
-16,-197,echest
-2,-204,echest
-5,-181,echest
-9,-180,echest
-9,-187,echest
-16,-188,echest
-11,-178,echest
-1,-178,echest
-1,-186,echest
-1,-182,echest
-10,-163,echest
-12,-163,echest
-1,-164,echest
-13,-172,echest
-1,-161,echest
-12,-148,echest
-4,-156,echest
-14,-139,echest
-5,-133,echest
-5,-131,echest
-11,-136,echest
-4,-140,echest
-2,-139,echest
-10,-135,echest
-8,-130,echest
-1,-130,echest
-16,-143,echest
-6,-128,echest
-2,-125,echest
-13,-128,echest
-14,-119,echest
-8,-127,echest
-2,-126,echest
-1,-108,echest
-4,-110,echest
-16,-95,echest
-13,-90,echest
-15,-89,echest
-15,-88,echest
-12,-90,echest
-15,-89,echest
-12,-89,echest
-11,-89,echest
-4,-82,echest
-15,-86,echest
-11,-81,echest
-1,-73,echest
-4,-68,echest
-7,-73,echest
-8,-71,echest
-4,-78,echest
-10,-68,echest
-9,-68,echest
-6,-67,echest
-4,-56,echest
-4,-54,echest
-3,-60,echest
-5,-55,echest
-10,-56,echest
-7,-50,echest
-6,-50,echest
-5,-50,echest
-1,-55,echest
-4,-54,echest
-4,-53,echest
-3,-49,echest
-8,-49,echest
-8,-49,echest
-8,-49,echest
-6,-58,echest
-12,-64,echest
-5,-54,echest
-12,-52,echest
-9,-60,echest
-6,-53,echest
-6,-53,echest
-13,-51,echest
-2,-48,echest
-14,-33,echest
-5,-41,echest
-12,-34,echest
-12,-34,echest
-1,-36,echest
-1,-36,echest
-1,-36,echest
-6,-48,echest
-3,-37,echest
-2,-37,echest
-2,-37,echest
-2,-37,echest
-14,-42,echest
-14,-42,echest
-14,-42,echest
-12,-42,echest
-6,-41,echest
-6,-41,echest
-6,-41,echest
-8,-37,echest
-8,-37,echest
-2,-2214527,echest
-2,-3689027,echest
-60,-4773,echest
-60,-4773,echest
-4,-4990,echest
-5,-4681,echest
-9,-4613,echest
-3,-3348431,echest
-3,-3348430,echest
-3,-350040,echest
-11,-368987,echest
-4,-3503110,echest
-2,-3351768,echest
-3,-492300,echest
-3,-3505694,echest
-2,-492610,echest
-62,-517069,echest
-1,-657707,echest
-2,-3698400,echest
-2,-3357786,echest
-3,-498898,echest
